player,position
Fousseni Diabat,Unknown
Jonas Lssl,Unknown
Jack Simpson,Unknown
Grady Diangana,MID
Anthony Knockaert,MID
Mario Lemina,MID
Nya Kirby,Unknown
Laurent Depoitre,Unknown
Edward Nketiah,FWD
Benjamin Mendy,DEF
Dale Stephens,MID
Aleksandar Mitrovic,FWD
Jamie Murphy,Unknown
Isaac Hayden,MID
Curtis Jones,MID
Sean Scannell,Unknown
Mohamed Salah,MID
Jess Gmez Duarte,Unknown
Pascal Gro,Unknown
Guido Carrillo,Unknown
Dion Henry,Unknown
Trevoh Chalobah,Unknown
Conor Masterson,Unknown
Antonio Rdiger,DEF
Ederson Santana de Moraes,GK
Renato Sanches,MID
Sam Baldock,Unknown
Henri Saivet,Unknown
Robert Green,Unknown
Jiri Skalak,Unknown
Dwight McNeil,Unknown
Terence Kongolo,Unknown
Joe Rodon,DEF
Mikel Merino,Unknown
Matt Butcher,Unknown
Danilo Luiz da Silva,DEF
Tom Ince,Unknown
Roque Mesa,Unknown
Ethan Ampadu,DEF
Karl Darlow,GK
Martin Cranie,Unknown
Marvin Zeegelaar,Unknown
Davinson Snchez,DEF
Tiemou Bakayoko,MID
Hamza Choudhury,MID
Mathias Jorgensen,Unknown
Andr Carrillo,Unknown
Rafael Camacho,Unknown
Cenk Tosun,FWD
Steve Mounie,Unknown
Jos Heriberto Izquierdo Mena,Unknown
Ciaran Clark,DEF
Chancel Mbemba,Unknown
Grant Hanley,Unknown
Fikayo Tomori,DEF
Erwin Mulder,Unknown
Davy Klaassen,Unknown
Tomer Hemed,Unknown
Mathew Ryan,GK
Kyle Scott,Unknown
Beram Kayal,Unknown
Nahki Wells,Unknown
Moritz Bauer,Unknown
Kyle Jameson,Unknown
Joseph Willock,MID
Daryl Murphy,Unknown
Ezequiel Schelotto,Unknown
Joe Lolley,Unknown
Abdelhamid Sabiri,Unknown
Josh Pask,Unknown
Liam Rosenior,Unknown
Lukas Nmecha,Unknown
Tommy Smith,Unknown
Javier Hernndez Balczar,Unknown
Jack Payne,Unknown
Michael Obafemi,FWD
Sam Hughes,Unknown
Brahim Diaz,MID
Sead Kolasinac,DEF
Adrien Sebastian Perruchet Silva,Unknown
Beni Baningime,Unknown
Solomon March,MID
Oliver Burke,MID
Alexander Srloth,Unknown
Tammy Abraham,FWD
Paul Dummett,DEF
Jonjo Shelvey,MID
Collin Quaner,Unknown
Jon Gorenc Stankovic,Unknown
Robert Elliot,Unknown
Jamaal Lascelles,DEF
Danny Ward,GK
Aleksandar Dragovic,Unknown
Bojan Krkic Perez,Unknown
Philip Billing,Unknown
Emerson Palmieri dos Santos,DEF
Tashan Oakley-Boothe,Unknown
Phil Foden,MID
Dwight Gayle,FWD
Rayhaan Tulloch,Unknown
Elias Kachunga,Unknown
Joel Coleman,Unknown
Jairo Riedewald,MID
Juan Foyth,DEF
Rolando Aarons,MID
Oliver Norwood,MID
Reiss Nelson,MID
Bruno Saltor Grau,Unknown
Kyle Bartley,DEF
Anders Lindegaard,GK
James Daly,Unknown
Patrice Evra,DEF
Ali Gabr,Unknown
Orestis Karnezis,Unknown
Eric Maxim Choupo-Moting,FWD
Lucas Rodrigues Moura da Silva,MID
Jaroslaw Jach,Unknown
Francisco Femena Far,Unknown
Jrgen Locadia,Unknown
Chris Lwe,Unknown
Freddie Woodman,Unknown
Luke Garbutt,Unknown
Kyle Taylor,Unknown
George Thomas,Unknown
Lasse Sorenson,Unknown
Callum Hudson-Odoi,MID
Jason Lokilo,Unknown
Layton Ndukwu,Unknown
Gatan Bong,Unknown
Jordi Osei-Tutu,Unknown
Victor Lindelf,DEF
Lewis Dunk,DEF
Jacob Murphy,MID
