,value,total_points
1250,45,2
1251,45,3
1252,45,0
1253,45,2
1254,45,2
1255,45,4
1256,45,1
1257,45,2
1258,45,3
1259,45,2
1260,45,3
1261,45,3
1262,45,2
1263,45,1
1264,45,1
1265,45,0
1266,45,0
1267,45,0
1268,45,0
1269,45,0
1270,45,0
1271,45,0
1272,45,0
1273,45,0
1274,45,0
1275,45,0
1276,45,0
1277,45,0
1278,45,0
1279,45,0
1280,45,0
1281,45,0
1282,44,1
1283,45,10
1284,45,2
1285,45,2
1286,45,2
1287,45,2
1288,45,2
1289,44,1
1290,44,1
1291,43,1
1292,42,2
1293,42,2
1294,41,2
1295,41,2
1296,41,1
1297,41,2
1298,50,0
1299,50,0
1300,50,0
1301,50,0
1302,50,0
1303,50,0
1304,50,0
1305,50,0
1306,50,0
1307,50,0
1308,50,0
1309,50,0
1310,50,0
1311,50,0
1312,50,0
1313,50,0
1314,50,0
1315,50,0
1316,50,0
1317,50,0
1318,50,0
1319,50,0
1320,50,0
1321,50,0
1322,50,0
1323,50,0
1324,50,0
1325,50,0
1326,50,0
1327,50,0
1328,50,0
1329,50,0
1330,50,0
1331,50,0
1332,50,0
1333,50,0
1334,50,0
1335,50,0
1336,95,0
1337,95,1
1338,95,8
1339,96,2
1340,96,2
1341,95,10
1342,95,3
1343,95,10
1344,96,3
1345,96,5
1346,96,5
1347,96,2
1348,96,2
1349,96,11
1350,96,10
1351,96,2
1352,96,2
1353,96,6
1354,96,0
1355,96,0
1356,95,6
1357,95,6
1358,95,2
1359,95,2
1360,95,3
1361,94,0
1362,94,0
1363,94,5
1364,94,14
1365,94,2
1366,94,10
1367,94,3
1368,94,2
1369,94,3
1370,94,5
1371,95,7
1372,95,8
1373,95,5
1374,45,0
1375,45,0
1376,45,0
1377,45,0
1378,45,0
1379,45,0
1380,45,0
1381,45,0
1382,45,0
1383,45,0
1384,45,0
1385,45,0
1386,45,0
1387,45,0
1388,45,0
1389,45,0
1390,45,0
1391,45,0
1392,45,0
1393,45,0
1394,45,0
1395,45,0
1396,45,0
1397,45,0
1398,70,0
1399,70,0
1400,69,0
1401,69,0
1402,68,0
1403,68,1
1404,68,1
1405,68,1
1406,68,3
1407,68,0
1408,68,2
1409,68,8
1410,68,3
1411,68,1
1412,68,2
1413,68,1
1414,68,1
1415,68,0
1416,68,0
1417,67,1
1418,67,2
1419,67,0
1420,67,4
1421,67,0
1422,67,1
1423,67,0
1424,67,0
1425,67,1
1426,67,2
1427,67,1
1428,67,1
1429,67,1
1430,67,1
1431,67,1
1432,67,0
1433,45,0
1434,45,0
1435,45,0
1436,45,0
1437,45,0
1438,45,0
1439,45,0
1440,45,0
1441,45,0
1442,45,0
1443,45,0
1444,45,0
1445,45,0
1446,45,0
1447,45,0
1448,45,0
1449,45,0
1450,44,0
1451,44,0
1452,44,0
1453,44,0
1454,44,0
1455,44,0
1456,44,0
1457,44,0
1458,44,0
1459,44,0
1460,44,0
1461,44,0
1462,44,0
1463,44,0
1464,44,0
1465,44,0
1466,44,0
1467,55,3
1468,55,3
1469,55,1
1470,55,0
1471,54,1
1472,53,1
1473,53,1
1474,52,0
1475,52,12
1476,52,3
1477,52,2
1478,52,2
1479,52,1
1480,52,2
1481,52,1
1482,52,2
